"popul","TVnews","selfLR","ClinLR","DoleLR","PID","age","educ","income","vote"
0,7,"extCon","extLib","Con","Republican",36,"HS",1.5,"Dole"
190,1,"sliLib","sliLib","sliCon","Democrat",20,"Coll",1.5,"Clinton"
31,7,"Lib","Lib","Con","Democrat",24,"BAdeg",1.5,"Clinton"
83,4,"sliLib","Mod","sliCon","Democrat",28,"BAdeg",1.5,"Clinton"
640,7,"sliCon","Con","Mod","Democrat",68,"BAdeg",1.5,"Clinton"
110,3,"sliLib","Mod","Con","Democrat",21,"Coll",1.5,"Clinton"
100,7,"sliCon","Con","Mod","Democrat",77,"Coll",1.5,"Clinton"
31,1,"sliCon","Mod","sliCon","Independent",21,"Coll",1.5,"Clinton"
180,7,"Mod","Con","sliLib","Independent",31,"Coll",1.5,"Clinton"
2800,0,"sliLib","sliLib","extCon","Democrat",39,"HS",1.5,"Clinton"
1600,0,"sliLib","Lib","Mod","Independent",26,"HSdrop",1.5,"Clinton"
330,5,"Mod","sliLib","Con","Democrat",31,"Coll",1.5,"Clinton"
190,2,"sliCon","Mod","Con","Republican",22,"Coll",1.5,"Dole"
100,7,"Mod","Mod","Con","Democrat",42,"CCdeg",1.5,"Clinton"
1000,7,"sliCon","extCon","Mod","Democrat",74,"MS",1.5,"Clinton"
0,7,"Con","extCon","sliCon","Democrat",62,"HS",1.5,"Clinton"
130,7,"Mod","Mod","sliCon","Democrat",58,"HS",1.5,"Clinton"
5,5,"sliLib","sliLib","Con","Democrat",24,"BAdeg",1.5,"Clinton"
33,7,"Con","Lib","Con","Republican",51,"Coll",1.5,"Dole"
19,2,"Lib","extLib","Mod","Democrat",36,"HS",4,"Clinton"
74,7,"Mod","Mod","extCon","Independent",88,"HSdrop",4,"Clinton"
190,0,"Lib","Mod","Con","Independent",20,"Coll",4,"Clinton"
12,3,"Mod","Con","sliLib","Independent",27,"HS",4,"Clinton"
0,7,"Con","extLib","Con","Republican",44,"Coll",4,"Dole"
19,0,"Mod","Lib","Lib","Democrat",45,"HS",4,"Clinton"
0,2,"Mod","sliLib","Con","Democrat",21,"Coll",4,"Clinton"
390,5,"sliLib","Mod","extCon","Democrat",40,"CCdeg",4,"Clinton"
40,7,"Mod","sliLib","Mod","Democrat",40,"BAdeg",4,"Clinton"
3,3,"sliCon","sliCon","Mod","Democrat",48,"HS",4,"Clinton"
450,3,"Mod","extCon","extLib","Democrat",34,"HS",4,"Clinton"
350,0,"sliLib","Mod","extCon","Independent",26,"HSdrop",4,"Clinton"
64,3,"Mod","Mod","Lib","Democrat",60,"HSdrop",6,"Clinton"
3,0,"Mod","Mod","sliLib","Democrat",32,"HS",6,"Clinton"
0,1,"Mod","sliLib","extCon","Democrat",31,"HS",6,"Clinton"
640,7,"extCon","sliCon","extCon","Independent",33,"HS",6,"Dole"
0,7,"sliLib","Mod","Con","Democrat",57,"HS",6,"Clinton"
12,7,"Mod","sliLib","Con","Democrat",84,"HS",6,"Clinton"
62,6,"extCon","Lib","extCon","Republican",75,"HS",6,"Dole"
31,2,"extCon","Lib","Con","Republican",19,"Coll",6,"Dole"
0,1,"sliLib","Lib","Con","Democrat",47,"BAdeg",6,"Clinton"
180,6,"sliCon","sliCon","sliCon","Democrat",51,"HSdrop",6,"Clinton"
640,3,"Con","Mod","Mod","Republican",40,"HS",6,"Clinton"
110,0,"Lib","sliLib","Con","Democrat",22,"BAdeg",6,"Clinton"
100,1,"extCon","extCon","sliCon","Republican",35,"HSdrop",6,"Clinton"
100,7,"Mod","Mod","extCon","Independent",43,"CCdeg",6,"Clinton"
11,3,"Con","Con","sliLib","Independent",76,"BAdeg",6,"Clinton"
0,7,"Mod","sliLib","extLib","Republican",45,"HS",6,"Dole"
4,7,"Mod","Con","Con","Democrat",88,"HSdrop",6,"Clinton"
35,6,"Mod","Mod","Lib","Democrat",46,"HS",8,"Clinton"
0,1,"sliLib","Mod","sliCon","Independent",22,"BAdeg",8,"Clinton"
0,7,"sliCon","extLib","Con","Republican",68,"HS",8,"Dole"
0,2,"sliCon","Lib","Con","Republican",38,"HS",8,"Dole"
33,7,"Mod","sliLib","Con","Independent",69,"HSdrop",8,"Clinton"
270,2,"sliCon","Mod","sliLib","Democrat",67,"HS",8,"Clinton"
45,7,"Lib","Mod","Con","Democrat",88,"Coll",8,"Clinton"
40,3,"Con","Lib","sliCon","Republican",68,"HS",8,"Dole"
6,1,"sliCon","Lib","Mod","Independent",76,"HS",8,"Dole"
2,7,"Mod","Mod","Con","Democrat",72,"HSdrop",8,"Clinton"
0,0,"Con","Lib","Con","Republican",37,"BAdeg",8,"Dole"
35,3,"Mod","Lib","Con","Democrat",69,"HS",8,"Clinton"
83,0,"Lib","Mod","Con","Democrat",33,"BAdeg",8,"Clinton"
3500,7,"Lib","Lib","Con","Democrat",34,"Coll",8,"Clinton"
100,2,"Mod","Mod","extCon","Independent",30,"HS",8,"Clinton"
350,2,"sliLib","sliLib","Con","Democrat",19,"HS",8,"Clinton"
100,3,"Mod","Con","Lib","Democrat",44,"HS",8,"Clinton"
67,1,"Mod","Mod","extCon","Democrat",64,"HS",8,"Clinton"
30,5,"extCon","extCon","Lib","Democrat",37,"Coll",8,"Clinton"
0,7,"Con","sliLib","sliCon","Independent",31,"CCdeg",9.5,"Dole"
0,0,"Con","extLib","sliCon","Independent",88,"Coll",9.5,"Dole"
6,7,"Con","Lib","Con","Republican",77,"Coll",9.5,"Dole"
350,1,"Mod","sliCon","Con","Republican",30,"BAdeg",9.5,"Clinton"
400,1,"Lib","sliLib","extCon","Democrat",32,"Coll",9.5,"Clinton"
15,7,"Con","Lib","Con","Republican",59,"MS",9.5,"Dole"
0,0,"Mod","Mod","Mod","Independent",47,"Coll",9.5,"Clinton"
3,2,"Mod","Con","sliCon","Democrat",22,"HS",9.5,"Clinton"
22,5,"Mod","Lib","Con","Independent",55,"HS",9.5,"Clinton"
64,2,"Lib","extLib","sliLib","Democrat",24,"HSdrop",9.5,"Clinton"
32,5,"sliLib","extCon","Mod","Democrat",65,"MS",9.5,"Clinton"
390,7,"sliLib","Con","Lib","Independent",24,"HS",9.5,"Clinton"
0,7,"sliLib","Mod","sliCon","Independent",30,"HS",9.5,"Clinton"
0,7,"Mod","sliCon","Lib","Independent",73,"HS",9.5,"Clinton"
59,5,"sliLib","sliLib","sliCon","Democrat",73,"CCdeg",9.5,"Clinton"
0,6,"Mod","sliLib","Con","Independent",91,"MS",9.5,"Clinton"
35,7,"sliLib","Lib","sliCon","Democrat",71,"HSdrop",9.5,"Clinton"
0,2,"Con","Mod","sliCon","Independent",34,"Coll",9.5,"Dole"
170,7,"Mod","sliLib","Lib","Democrat",48,"HSdrop",10.5,"Clinton"
12,1,"Con","Lib","Con","Republican",42,"Coll",10.5,"Dole"
40,4,"Con","sliCon","Mod","Democrat",72,"HSdrop",10.5,"Clinton"
31,2,"sliLib","Mod","Con","Republican",20,"Coll",10.5,"Dole"
31,7,"Lib","Lib","extCon","Democrat",22,"Coll",10.5,"Clinton"
1600,1,"sliLib","sliLib","Con","Democrat",24,"BAdeg",10.5,"Clinton"
1,1,"Mod","Lib","extCon","Independent",39,"BAdeg",10.5,"Clinton"
4,7,"Con","extLib","Con","Republican",83,"CCdeg",10.5,"Dole"
190,0,"Con","Lib","Con","Republican",39,"HS",10.5,"Dole"
53,3,"sliCon","sliLib","Con","Democrat",33,"CCdeg",10.5,"Clinton"
31,7,"Mod","sliLib","Con","Democrat",53,"HS",10.5,"Dole"
16,7,"sliCon","sliLib","Con","Republican",82,"HS",10.5,"Dole"
33,5,"Mod","sliLib","sliCon","Republican",82,"HS",10.5,"Dole"
0,3,"sliCon","sliLib","Con","Republican",47,"BAdeg",11.5,"Dole"
0,3,"Mod","Lib","extCon","Independent",68,"HS",11.5,"Clinton"
0,7,"Mod","sliLib","sliCon","Democrat",84,"BAdeg",11.5,"Clinton"
27,2,"Con","extLib","Con","Republican",35,"CCdeg",11.5,"Dole"
84,7,"Mod","sliCon","Con","Democrat",67,"HSdrop",11.5,"Clinton"
22,3,"sliCon","sliLib","sliCon","Independent",33,"HSdrop",11.5,"Dole"
0,3,"sliLib","sliLib","sliCon","Democrat",49,"MAdeg",11.5,"Clinton"
3500,0,"Mod","sliLib","extCon","Democrat",91,"MS",11.5,"Clinton"
390,7,"Mod","sliCon","sliLib","Democrat",43,"HS",11.5,"Clinton"
0,7,"Mod","sliLib","Lib","Republican",65,"Coll",11.5,"Clinton"
16,7,"sliCon","Con","sliLib","Democrat",69,"HS",11.5,"Clinton"
200,0,"sliCon","sliCon","Mod","Democrat",56,"Coll",12.5,"Clinton"
640,0,"Lib","sliLib","sliCon","Democrat",24,"BAdeg",12.5,"Clinton"
0,7,"Mod","Mod","sliCon","Democrat",77,"HS",12.5,"Clinton"
45,7,"Con","sliLib","extCon","Democrat",74,"HS",12.5,"Clinton"
12,0,"extCon","sliLib","Con","Republican",25,"BAdeg",12.5,"Dole"
20,7,"Con","Lib","sliCon","Independent",85,"MS",12.5,"Dole"
7300,5,"extCon","extCon","Con","Independent",21,"HSdrop",12.5,"Clinton"
64,7,"Con","sliLib","extLib","Democrat",24,"Coll",12.5,"Clinton"
13,7,"sliCon","Mod","extCon","Independent",73,"Coll",12.5,"Clinton"
190,0,"Mod","sliCon","sliLib","Independent",37,"HS",12.5,"Clinton"
9,4,"Mod","sliCon","extLib","Independent",35,"Coll",12.5,"Clinton"
0,7,"Mod","Mod","extCon","Democrat",47,"HS",12.5,"Clinton"
170,2,"Mod","Lib","Con","Republican",21,"HS",12.5,"Dole"
640,7,"sliLib","Con","Mod","Democrat",55,"CCdeg",12.5,"Clinton"
9,4,"Con","sliLib","Con","Republican",30,"BAdeg",12.5,"Dole"
0,4,"sliCon","sliLib","Con","Independent",76,"MAdeg",12.5,"Dole"
7300,5,"sliLib","Mod","sliLib","Independent",36,"Coll",12.5,"Clinton"
2800,0,"extLib","extLib","extCon","Democrat",38,"HS",13.5,"Clinton"
0,7,"Lib","sliLib","sliCon","Democrat",67,"HS",13.5,"Clinton"
30,7,"extCon","sliLib","extCon","Republican",70,"HSdrop",13.5,"Dole"
44,7,"sliCon","sliLib","extCon","Independent",78,"Coll",13.5,"Clinton"
7300,1,"Lib","Lib","extCon","Independent",27,"BAdeg",13.5,"Clinton"
330,4,"sliLib","sliCon","Con","Democrat",51,"Coll",13.5,"Clinton"
3,0,"Con","extCon","sliLib","Republican",33,"Coll",13.5,"Clinton"
51,2,"Con","extLib","sliCon","Republican",80,"BAdeg",13.5,"Dole"
29,5,"Mod","extLib","Con","Democrat",79,"MS",13.5,"Clinton"
630,2,"Con","Mod","sliCon","Independent",66,"MS",13.5,"Dole"
170,0,"Mod","extLib","Con","Democrat",32,"HS",14.5,"Clinton"
33,7,"Mod","sliCon","extCon","Democrat",70,"HSdrop",14.5,"Clinton"
0,3,"Lib","sliLib","Con","Independent",42,"HS",14.5,"Clinton"
9,5,"sliCon","Mod","sliCon","Republican",73,"Coll",14.5,"Dole"
22,4,"Mod","Mod","Con","Democrat",87,"HSdrop",14.5,"Clinton"
100,0,"extCon","sliCon","extLib","Democrat",30,"CCdeg",14.5,"Clinton"
2,2,"Mod","Mod","sliCon","Independent",52,"HS",14.5,"Clinton"
0,6,"sliCon","sliLib","Con","Democrat",62,"Coll",14.5,"Clinton"
50,7,"Con","sliLib","Mod","Democrat",67,"HS",14.5,"Clinton"
15,4,"Con","sliLib","Mod","Independent",37,"BAdeg",14.5,"Clinton"
3,4,"sliLib","sliCon","extCon","Democrat",37,"Coll",14.5,"Clinton"
720,5,"extLib","sliCon","Con","Democrat",64,"BAdeg",14.5,"Clinton"
640,7,"extLib","extLib","sliCon","Democrat",34,"HS",14.5,"Clinton"
5,7,"Mod","Mod","extCon","Democrat",70,"HS",14.5,"Clinton"
24,2,"Con","Lib","Con","Republican",31,"CCdeg",14.5,"Dole"
22,7,"Lib","Lib","Con","Democrat",29,"BAdeg",16,"Clinton"
55,7,"Mod","sliCon","Mod","Democrat",71,"HSdrop",16,"Clinton"
0,2,"Mod","Mod","Mod","Democrat",67,"MS",16,"Clinton"
1600,5,"Mod","Mod","Con","Democrat",41,"MAdeg",16,"Clinton"
170,6,"extLib","Lib","Con","Democrat",49,"BAdeg",16,"Clinton"
1000,7,"Mod","Mod","sliCon","Democrat",42,"CCdeg",16,"Clinton"
63,0,"Con","sliLib","Lib","Democrat",78,"HSdrop",16,"Clinton"
110,0,"Mod","extLib","Con","Democrat",24,"HS",16,"Clinton"
16,7,"Mod","Con","Con","Democrat",29,"HS",16,"Clinton"
100,3,"Mod","Lib","Con","Republican",39,"CCdeg",16,"Dole"
7300,3,"sliCon","sliLib","Con","Democrat",19,"Coll",16,"Clinton"
22,2,"Mod","Lib","extCon","Democrat",32,"CCdeg",16,"Clinton"
71,3,"Mod","Lib","Con","Republican",69,"HS",16,"Dole"
900,4,"sliCon","Lib","sliCon","Republican",83,"HS",16,"Dole"
35,7,"Mod","extLib","sliCon","Independent",76,"HSdrop",16,"Dole"
2,7,"extCon","extLib","Lib","Democrat",62,"HSdrop",16,"Clinton"
83,2,"sliLib","sliLib","Con","Democrat",47,"MAdeg",16,"Clinton"
370,5,"Con","extCon","Mod","Democrat",35,"HS",16,"Clinton"
12,0,"Mod","sliCon","sliLib","Independent",23,"HS",16,"Clinton"
370,7,"Mod","Mod","extLib","Democrat",79,"Coll",16,"Clinton"
100,7,"Con","Lib","Con","Republican",64,"CCdeg",16,"Dole"
470,7,"Con","Lib","Mod","Republican",70,"Coll",16,"Dole"
22,7,"Con","extLib","Con","Republican",87,"CCdeg",16,"Dole"
2800,0,"sliLib","Con","extLib","Democrat",28,"HSdrop",18.5,"Clinton"
47,5,"sliLib","sliCon","extCon","Democrat",58,"HS",18.5,"Clinton"
900,5,"Mod","Mod","Con","Democrat",85,"HSdrop",18.5,"Clinton"
330,7,"sliLib","Con","Mod","Democrat",62,"HS",18.5,"Clinton"
84,0,"sliLib","Lib","extCon","Democrat",26,"BAdeg",18.5,"Clinton"
0,0,"Con","Lib","sliCon","Republican",28,"HS",18.5,"Dole"
33,3,"Con","extLib","extCon","Republican",88,"HSdrop",18.5,"Dole"
53,7,"Lib","sliLib","Con","Democrat",57,"BAdeg",18.5,"Clinton"
8,7,"Lib","Lib","Con","Democrat",78,"HS",18.5,"Clinton"
2,7,"Mod","Mod","Lib","Democrat",56,"HS",18.5,"Clinton"
0,0,"Mod","Con","sliLib","Independent",46,"CCdeg",18.5,"Clinton"
0,2,"Mod","Mod","sliLib","Republican",20,"HS",18.5,"Dole"
0,0,"sliCon","Con","Mod","Democrat",24,"Coll",18.5,"Clinton"
0,7,"sliCon","Lib","Con","Independent",72,"Coll",18.5,"Clinton"
15,7,"Lib","Mod","extCon","Democrat",51,"Coll",18.5,"Clinton"
900,0,"Con","Lib","sliCon","Republican",34,"BAdeg",18.5,"Dole"
30,2,"Mod","Lib","Con","Democrat",21,"Coll",18.5,"Clinton"
0,7,"Mod","Mod","Con","Independent",74,"MAdeg",18.5,"Clinton"
170,3,"Mod","Mod","Con","Democrat",48,"MS",18.5,"Clinton"
900,2,"sliLib","sliLib","extCon","Republican",28,"HS",18.5,"Clinton"
0,6,"extCon","extLib","extCon","Republican",38,"HSdrop",18.5,"Dole"
1600,7,"Mod","Con","extLib","Democrat",70,"HS",18.5,"Clinton"
0,7,"Mod","sliCon","Mod","Democrat",72,"HSdrop",18.5,"Clinton"
2800,0,"Mod","sliCon","Con","Democrat",41,"HS",18.5,"Clinton"
110,5,"sliLib","Mod","sliCon","Democrat",50,"MAdeg",18.5,"Clinton"
1,7,"Con","Lib","sliCon","Republican",73,"HS",18.5,"Dole"
3,5,"sliCon","Lib","Mod","Democrat",79,"BAdeg",18.5,"Clinton"
0,4,"sliCon","extLib","Mod","Republican",76,"HSdrop",18.5,"Dole"
22,0,"sliCon","sliLib","sliCon","Republican",62,"CCdeg",18.5,"Dole"
63,3,"Con","Lib","Con","Republican",30,"BAdeg",18.5,"Dole"
290,0,"Con","sliLib","Con","Republican",35,"Coll",18.5,"Dole"
2,7,"extLib","Lib","extCon","Democrat",66,"Coll",18.5,"Clinton"
40,0,"Lib","Mod","Con","Democrat",35,"Coll",18.5,"Clinton"
67,0,"Con","extLib","sliCon","Republican",57,"BAdeg",18.5,"Dole"
0,5,"Mod","sliCon","Mod","Republican",37,"CCdeg",18.5,"Dole"
470,7,"sliCon","sliCon","Lib","Democrat",61,"HS",21,"Clinton"
0,7,"Con","Lib","Con","Republican",56,"HS",21,"Dole"
4,6,"sliLib","Mod","sliCon","Democrat",53,"HS",21,"Clinton"
20,0,"Mod","sliCon","sliLib","Independent",24,"BAdeg",21,"Dole"
2800,7,"Mod","extLib","Con","Republican",74,"HS",21,"Dole"
0,0,"Mod","Mod","sliLib","Democrat",36,"HS",21,"Clinton"
1,0,"Con","Lib","Mod","Republican",30,"CCdeg",21,"Dole"
640,0,"Mod","extCon","Mod","Democrat",55,"HSdrop",21,"Clinton"
170,3,"sliLib","Lib","extCon","Independent",35,"BAdeg",21,"Clinton"
270,2,"sliLib","Mod","Con","Democrat",26,"Coll",21,"Clinton"
390,0,"sliLib","Mod","Con","Independent",25,"Coll",21,"Clinton"
16,2,"Con","extCon","Mod","Independent",27,"HS",21,"Clinton"
11,7,"Mod","extLib","Con","Republican",66,"HS",21,"Dole"
0,1,"sliCon","Lib","Con","Independent",39,"HSdrop",21,"Clinton"
270,7,"extLib","extLib","Lib","Independent",58,"CCdeg",21,"Clinton"
170,2,"Mod","Mod","Mod","Democrat",53,"HS",21,"Dole"
900,7,"Con","extCon","Mod","Democrat",76,"HS",21,"Clinton"
270,7,"sliCon","Lib","extCon","Democrat",51,"HS",21,"Clinton"
0,7,"Mod","Lib","extCon","Democrat",70,"HSdrop",21,"Clinton"
350,3,"Con","sliLib","Con","Republican",68,"Coll",21,"Dole"
0,0,"sliCon","Mod","sliCon","Independent",32,"HS",21,"Dole"
6,0,"sliCon","Mod","sliCon","Republican",55,"HS",21,"Clinton"
290,7,"Lib","Lib","Con","Democrat",52,"Coll",21,"Clinton"
630,7,"Con","Mod","Con","Independent",73,"HSdrop",21,"Dole"
900,0,"sliCon","Mod","extCon","Democrat",42,"HSdrop",21,"Clinton"
31,2,"Mod","Mod","sliLib","Independent",23,"CCdeg",21,"Dole"
1600,5,"Lib","sliLib","Con","Democrat",30,"MAdeg",23.5,"Clinton"
71,7,"Lib","Lib","extCon","Democrat",68,"Coll",23.5,"Clinton"
200,7,"sliCon","Lib","sliLib","Independent",68,"HS",23.5,"Clinton"
0,0,"Con","Mod","extCon","Independent",68,"BAdeg",23.5,"Clinton"
30,5,"Lib","sliLib","Con","Democrat",38,"CCdeg",23.5,"Clinton"
10,1,"Mod","sliLib","Con","Independent",74,"HS",23.5,"Clinton"
0,7,"sliCon","Con","sliLib","Democrat",59,"HSdrop",23.5,"Clinton"
900,2,"sliCon","Lib","sliCon","Independent",73,"HSdrop",23.5,"Clinton"
71,7,"Lib","sliLib","Con","Democrat",79,"HS",23.5,"Clinton"
22,3,"extCon","extLib","Con","Republican",28,"Coll",23.5,"Dole"
0,7,"Con","Lib","Con","Republican",50,"HS",23.5,"Dole"
0,4,"Con","sliLib","extLib","Democrat",36,"Coll",23.5,"Clinton"
0,3,"Con","Lib","Con","Republican",50,"HS",23.5,"Dole"
0,1,"Con","Lib","Con","Republican",61,"HS",23.5,"Dole"
7300,3,"Lib","Lib","Con","Democrat",37,"Coll",23.5,"Clinton"
83,0,"sliLib","Mod","extCon","Democrat",29,"BAdeg",23.5,"Clinton"
93,7,"Lib","sliLib","extCon","Democrat",39,"Coll",23.5,"Clinton"
0,7,"Mod","sliCon","Mod","Independent",83,"BAdeg",23.5,"Dole"
51,7,"Con","extLib","sliCon","Independent",68,"BAdeg",23.5,"Dole"
31,2,"Con","extLib","sliCon","Republican",25,"Coll",23.5,"Dole"
93,2,"extLib","sliLib","Con","Democrat",41,"BAdeg",23.5,"Clinton"
0,7,"sliLib","Lib","Con","Democrat",67,"HS",23.5,"Clinton"
0,3,"Mod","Lib","Con","Independent",36,"BAdeg",23.5,"Dole"
31,4,"Con","Lib","Con","Independent",66,"Coll",23.5,"Dole"
900,1,"sliLib","Lib","extCon","Democrat",55,"Coll",23.5,"Clinton"
0,4,"sliLib","Lib","Con","Independent",42,"CCdeg",23.5,"Clinton"
2,7,"Con","sliLib","sliCon","Republican",42,"HS",23.5,"Dole"
110,3,"Mod","sliCon","extCon","Democrat",36,"HS",23.5,"Clinton"
63,1,"Con","Mod","Con","Independent",53,"CCdeg",23.5,"Dole"
900,0,"sliLib","Lib","sliCon","Democrat",36,"CCdeg",23.5,"Clinton"
31,3,"Mod","sliLib","Con","Independent",29,"MAdeg",23.5,"Clinton"
510,1,"Mod","Mod","Con","Democrat",31,"HS",23.5,"Clinton"
270,2,"sliLib","Mod","Con","Democrat",43,"BAdeg",23.5,"Clinton"
9,3,"sliLib","Mod","extCon","Democrat",33,"BAdeg",23.5,"Clinton"
3,1,"Con","Con","Lib","Democrat",63,"HS",23.5,"Clinton"
29,1,"sliCon","Lib","Mod","Independent",25,"CCdeg",23.5,"Clinton"
45,2,"sliLib","Lib","Con","Democrat",72,"Coll",23.5,"Clinton"
83,5,"sliLib","sliLib","Con","Democrat",40,"Coll",23.5,"Clinton"
22,7,"Mod","Lib","Con","Independent",27,"BAdeg",23.5,"Clinton"
15,3,"sliCon","Mod","extCon","Independent",26,"Coll",27.5,"Clinton"
110,7,"sliCon","Lib","sliCon","Republican",67,"HS",27.5,"Dole"
8,0,"Mod","sliCon","sliCon","Democrat",21,"HS",27.5,"Clinton"
11,5,"Con","Lib","Con","Republican",27,"MAdeg",27.5,"Dole"
56,4,"Con","sliCon","sliLib","Democrat",78,"BAdeg",27.5,"Dole"
8,3,"Mod","Mod","sliLib","Democrat",32,"HS",27.5,"Clinton"
100,5,"Mod","Lib","Con","Democrat",68,"Coll",27.5,"Clinton"
900,7,"Mod","Lib","Con","Republican",76,"Coll",27.5,"Clinton"
67,7,"sliLib","sliLib","Con","Democrat",33,"CCdeg",27.5,"Clinton"
35,4,"Con","Lib","sliCon","Independent",38,"HSdrop",27.5,"Dole"
35,3,"Mod","sliLib","sliCon","Democrat",49,"MAdeg",27.5,"Clinton"
22,0,"sliCon","Mod","Con","Republican",61,"Coll",27.5,"Dole"
110,7,"extCon","extLib","sliCon","Independent",57,"HS",27.5,"Dole"
12,0,"Mod","Lib","sliCon","Independent",20,"HS",27.5,"Clinton"
7300,7,"Mod","Lib","Mod","Independent",63,"BAdeg",27.5,"Dole"
0,0,"Mod","extLib","sliCon","Independent",53,"HS",27.5,"Dole"
19,5,"Mod","Lib","Con","Republican",35,"Coll",27.5,"Dole"
470,3,"Mod","Mod","extCon","Democrat",39,"HS",27.5,"Clinton"
4,3,"sliLib","sliCon","sliLib","Independent",48,"HS",27.5,"Dole"
640,4,"Con","Lib","sliCon","Independent",62,"HS",27.5,"Dole"
640,2,"Mod","Lib","sliLib","Democrat",30,"CCdeg",27.5,"Clinton"
200,7,"extCon","extLib","Mod","Republican",26,"BAdeg",27.5,"Dole"
0,7,"sliLib","Lib","Mod","Republican",74,"BAdeg",27.5,"Dole"
29,4,"sliLib","Mod","Con","Independent",37,"CCdeg",27.5,"Clinton"
330,2,"Mod","sliCon","sliCon","Democrat",43,"CCdeg",27.5,"Clinton"
19,5,"sliCon","extLib","Mod","Republican",68,"HS",27.5,"Dole"
1,7,"sliCon","sliLib","Mod","Republican",73,"CCdeg",27.5,"Dole"
110,5,"Con","extLib","Con","Republican",60,"MAdeg",27.5,"Dole"
0,7,"sliCon","Mod","Con","Democrat",35,"HS",27.5,"Clinton"
350,4,"sliLib","Mod","Con","Democrat",29,"BAdeg",27.5,"Clinton"
2,5,"sliLib","sliLib","sliCon","Democrat",25,"BAdeg",27.5,"Clinton"
0,7,"Lib","Lib","Con","Democrat",25,"MAdeg",27.5,"Clinton"
7,4,"Lib","Mod","sliCon","Democrat",70,"BAdeg",27.5,"Clinton"
71,1,"Con","Lib","sliCon","Republican",41,"HS",27.5,"Dole"
53,0,"Mod","Lib","Con","Democrat",37,"BAdeg",27.5,"Clinton"
0,0,"Con","extLib","Con","Republican",39,"CCdeg",27.5,"Dole"
2,6,"sliLib","Mod","Con","Democrat",35,"Coll",27.5,"Clinton"
190,4,"Lib","sliLib","Con","Democrat",62,"MAdeg",27.5,"Clinton"
31,0,"sliLib","Lib","Con","Democrat",30,"MAdeg",27.5,"Clinton"
16,7,"Mod","Lib","Con","Democrat",74,"Coll",27.5,"Clinton"
